Product,Category,SubCategory,FeatureType,FeatureTitle,BusinessValue,FeatureDetails,HeaderDetails,HeaderTitle,ReleaseWave,PublicPreview,DateAvailable,ImpactLevel,FoodAndBeverage,Retail,Industrials,LifeSciences,PublicSector,HealthCare,NonProfit,BusinessAndProfessionalServices,GroupNode
FS,Accounting,Accounting Testing,,,,,,,,,,,,,,,,,,,Yes
FS,Accounting,Accounting Testing,,,,,,,,,,,,,,,,,,,No
FS,Accounting,Accounting Testing,,Country-Specific Reports Enhancements,,,Advanced Localization Features Enhancements          In Advanced Localization Features version 1.02 you can now use additional printing options to customize your invoices and credit memos.                                    Print Note if Thereâs No Payment Discount â Adds a note when payment discount is not applied.                                      Mark Document as Copy or Duplicate â Enables labeling the document as Copy or Duplicate.                                      Hide Total Incl. VAT Column â Hides the Total Incl. VAT Column from the printed invoice.                                You can customize the label of printed invoices and credit memos using the Use Popup for Email Transaction Button.          For more information see Advanced Localization Features.,Advanced Localization Features Enhancements,2022 Wave 1,,,,,,,,,,,,No
FS,Accounting,Accounting Testing,,Country-Specific Reports Enhancements,,,Australia Payment Times Report          The ANZ Localization SuiteApp version 2.0.0 includes the following enhancements:                                                    Payment Times Report Generation                                                                    Payment Times Report Configuration                                                          Payment Times Report Generation            You can now generate the Payment Times Report (PTR) for submission to the Payment Times Reporting Portal.            The PTR is a legislative requirement for large businesses in Australia that have trade credit arrangements with small businesses. It reports the payment terms and practices of your small business suppliers.            You must submit the PTR within three months after the reporting period. The Payment Times Reporting Portal requires the following:                                          CSV file containing the payment information                                            Word or PDF file containing signatures and associated declarations                                      On the Country Tax Reports page in NetSuite you can generate the PTR and then export the CSV file and the Word (.doc) file. PDF is not yet supported.            The Australian government requires you to submit the Payment Times Report in Australian dollars (AUD). If your subsidiary in Australia uses a currency that is not AUD you must set up your account to convert your transaction currency to AUD.            For more information about what you need to do before generating a PTR see Payment Times Report (PTR).                                Payment Times Report Configuration            The ANZ Localization SuiteApp provides the Payment Times Report Configuration page where you must provide information needed for generating the PTR. The configuration page contains the following subtabs:                                          Entity &amp; Approval Information â Contains fields for entity submitter and approver details.                                            Payment Details â Contains fields for payment period practices and arrangements and supply chain financing.                                            Others â Contains fields for changes in accounting period business name and comments related to the report.                                      For more information see Payment Times Report Configuration.,Australia Payment Times Report,2022 Wave 1,,,,,,,,,,,,No
FS,Accounting,Accounting Testing,,Country-Specific Reports Enhancements,,,ANZ Localization Preferences and Supplier List Updates          To avoid possible conflicts with other SuiteApps the script IDs for the following fields in the ANZ Localization SuiteApp are changed in version 1.1.3.                                                                                          Page                                                        Field                                                        New Script ID                                                        Old Script ID                                                                                                                    ANZ Preferences                                                        ABN Verification Warning                                                        custrecord_anz_bn_verification_comp                                                        custrecord_bn_verification_warnings_comp                                                                                        Allow Override                                                        custrecord_anz_override_bn_warnings                                                        custrecord_override_bn_warnings                                                                                        Supplier ABN List Report                                                        Export File Name                                                        custrecord_anz_current_date                                                        custrecord_current_date                                                                                        Export File Name                                                        custrecord_anz_running_number_count                                                        custrecord_running_number_count                                                                                        Supplier List                                                        custrecord_anz_date                                                        custrecord_date                                                                                After the update the following values will reset:                                    Supplier list exported file name - The running number count used in the supplier list exported file name will reset. You can access the Supplier ABN List Report page at Setup &gt; ANZ Localization &gt; Supplier List. For more information see Generating a Supplier ABN List Report.                                      ANZ Preferences - The preferences on this page will reset to their default values. To set the values again for ABN Verification Warning go to Setup &gt; ANZ Localization &gt; Preferences. If applicable check the Allow Override box. For more information see Setting Up ANZ Localization Preferences.                                            Note:             If you have existing customizations that use any of the old script IDs you need to update these customizations to use the new script IDs after the SuiteApp is updated to version 1.1.3.                    In addition this update removes the duplicate vendor records from the Supplier ABN List Report page.,ANZ Localization Preferences and Supplier List Updates,2022 Wave 1,,,,,,,,,,,,No
FS,Accounting,Accounting Testing,,Country-Specific Reports Enhancements,,,Belgium Localization Tax Reports Enhancements          Belgium Localization SuiteApp version 1.05.0 provides the following enhancements to SuiteTax-based reports:                                    VAT Return 625 XML export â The VAT Return 625 report can now be exported to XML. You can download the XML file from the Country Tax Report page where you generate the VAT report.                                      Updated XML file exports â The XML versions of the Belgium Intrastat Annual Client Listing and EU Sales List reports have been updated according to recent tax reporting standards. The update includes a fix in the formatting of certain information in the reports.                                For more information see Belgium Localization.,Belgium Localization Tax Reports Enhancements,2022 Wave 1,,,,,,,,,,,,No
FS,Accounting,Accounting Testing,,Country-Specific Reports Enhancements,,,Belgium Localization Now Available in SuiteApp Marketplace          Belgium Localization SuiteApp version 2.00.0 is now available in the SuiteApp Marketplace. Previous versions of this SuiteApp are no longer supported. If you are using the SuiteTax feature installing this latest version prevents compatibility issues in your Belgium tax reports with NetSuite 2022.1 and later versions.          Belgium Localization SuiteApp version 1.05.0 or earlier is not automatically upgraded to version 2.00.0. To install this latest version from the SuiteApp Marketplace you must first uninstall the older versions of the SuiteApp (Bundle ID: 307195) from the SuiteBundler.          For more information see Belgium Localization.,Belgium Localization Now Available in SuiteApp Marketplace,2022 Wave 1,,,,,,,,,,,,No
FS,Accounting,Accounting Testing,,Country-Specific Reports Enhancements,,,China Localization Enhancements          China Localization version 1.00.25Â adds enhanced support for China Voucher List Reports:                                    Additional reporting filters â You can now use the Vendor Customer and Employee fields as search filters when generating China Voucher List.                                      Additional reporting templates â You can see more information in the generated PDF and Excel files when exporting a China Voucher List Report. These new templates provide an increased character limit for the detail column and can include the vendor customer and employee information in the line item of the report.                                For more information see Generating the China Voucher List and Setting Up Preferences for China Voucher List.          To access these features you must install China Localization SuiteApp. For more information see Installing China Localization.,China Localization Enhancements,2022 Wave 1,,,,,,,,,,,,No
FS,Accounting,Accounting Testing,,Country-Specific Reports Enhancements,,,Contra Account Sheet          Starting version 1.2.1 Contra Account Sheet SuiteApp is available for installation from the SuiteApp Marketplace (Application ID: com.netsuite.kontenblatt). This SuiteApp enables you to generate transaction reports with contra account information.          Previously you can install the Contra Account Sheet SuiteApp from the Search &amp; Install Bundles page. If you have the previous SuiteApp (version 1.01 bundle ID: 314179) installed in your NetSuite account you need to uninstall that SuiteApp first before installing the new version of Contra Account Sheet from SuiteApp Marketplace.          In version 1.2.7 Contra Account Sheet now displays data from accounting books in active inactive and pending states.,Contra Account Sheet,2022 Wave 1,,,,,,,,,,,,No
FS,Accounting,Accounting Testing,,Country-Specific Reports Enhancements,,,Country-Specific Reports Enhancements          Country-Specific Reports SuiteApp version 1.03 includes the new account balance drill-down feature.          To use this feature you must have the Contra Account Sheet SuiteApp installed in your NetSuite account. Also this feature is available only for reports that use the list of accounts feature.          To help you better understand the report data related to a single account the drill-down feature connects the reports provided by the Country-Specific Reports SuiteApp with the Contra Account Sheet SuiteApp dashboard. When you click a value in your report it opens a new browser tab that shows the Contra Account Sheet dashboard. This dashboard contains detailed transaction-level information for the selected account and period. Currently you can drill down only to a single account balance.          This update also adds a new Report Type field on the CSR â Report record. To use the account balance drill-down feature on new or existing reports this field must be set to either income statements or balance sheets.          For more information see Country-Specific Reports.,Country-Specific Reports Enhancements,2022 Wave 1,,,,,,,,,,,,No
FS,Accounting,Accounting Testing,,Country-Specific Reports Enhancements,,,Germany Localization Now Available          Germany Localization SuiteApp version 1.0 is now available for installation.          The Germany Localization SuiteApp provides features that address or comply with accounting and financial reporting requirements or standards specific to Germany. Two important German standards (SKR03 and SKR04) are supported. Chart of accounts templates with numerous common accounts are provided giving German companies the option to add subaccounts to the chart of accounts or to set up only the accounts they will use. The Germany Localization SuiteApp also supports several German financial statements including the balance sheet the income statement and balance reports (SuSa). These financial statements display aggregated data drawn from relevant accounts defined in the chart of accounts. Also several SuiteTax-based reports are available such as Intrastat â Arrivals and Intrastat - Dispatches Recapitulative Statement Periodic VAT Return â USt 1A and GoBD Data Extract.          For more information see Germany Localization.,Germany Localization Now Available,2022 Wave 1,,,,,,,,,,,,No
FS,Accounting,Accounting Testing,,Country-Specific Reports Enhancements,,,India Localization SuiteTax Engine Enhancements          India Localization SuiteTax Engine SuiteApp version 3.03.0 enables you to create transactions for Exempted and SEZ subsidiary registration types. You can now select Exempted or SEZ from the Subsidiary Registration Type field of the Goods and Services Tax (GST) tax rate rule record.          For more information see Setting Up Tax Rate Rules for India GST.,India Localization SuiteTax Engine Enhancements,2022 Wave 1,,,,,,,,,,,,No
FS,Accounting,Accounting Testing,,Country-Specific Reports Enhancements,,,Ireland Localization Enhancements          Ireland Localization SuiteApp version 1.02.0 includes the following enhancements:                                    For the Return of Trading Details report:                                                Report boxes definition is revised to support Postponed Accounting.                                                  Multi-Book Accounting is now supported.                                                  Report design is updated and now includes PDF and Excel export options.                                                                    For the Periodic VAT Return â VAT3 report:                                                Report boxes definition is revised to support Postponed Accounting.                                                  Multi-Book Accounting is now supported.                                                  Report design is updated and now includes PDF and Excel export options.                                                  Support for manual e-filing using XML file is now available.                                                                    Intrastat Dispatches (post-2021) report is now available. This report enables you to generate Intrastat Dispatches report for periods starting January 1 2022 in compliance with current requirements. Intrastat Dispatches (post-2021) report contains two additional columns:                                                Partner Operator VAT Number - VAT number of the company where the goods are dispatched to.                                                  Country of Origin - Country where the goods were harvested manufactured or substantially changed.                                                              Ireland Localization SuiteApp version 2.0.0 includes the following enhancements:                                    Ireland Localization version 2.0.0 is now available for installation from the SuiteApp Marketplace. This SuiteApp enables you to use Ireland-specific features such as tax reporting Intrastat and EC Sales List reporting and electronic bank payments.              Previously you could install the Ireland Localization SuiteApp from the Search &amp; Install Bundles page. If you have the previous SuiteApp (version 1.02 bundle ID: 318395) installed in your NetSuite account you need to uninstall it before installing the new version of Ireland Localization from SuiteApp Marketplace.                                For more information see Ireland Localization.,Ireland Localization Enhancements,2022 Wave 1,,,,,,,,,,,,No
FS,Accounting,Accounting Testing,,Country-Specific Reports Enhancements,,,Japan Localization Enhancements          Japan Localization SuiteApp version 2022.1 includes the following new features and enhancements:                                                    Consolidated Invoice Summary                                                                    Custom PDF Template for Journal                                                                    Japan Holidays Subtab                                                          Consolidated Invoice Summary            Version 2022.1 provides the new consolidated invoice summary that includes all transactions of the subcustomers of your customers.            To enable the consolidated invoice summary feature check the Include All Transactions of Subcustomers box on the Generate Invoice Summary page.            The consolidated invoice summary requires the following:                                          The Multi Subsidiary Customer feature must be disabled.                                            The parent customer and its subcustomers must have the same subsidiary and currency.                                            The customer you select to generate a consolidated invoice summary for must be a parent or primary customer not a subcustomer.                                            Transactions of the parent customer and its subcustomers must have the Include in Invoice Summary box checked.                                            You must add Customer: Internal ID to the custom saved search Invoice Summary Transaction Search; otherwise an error may be encountered in using the consolidated invoice summary. Invoice Summary Transaction Search is specified in the Statement Search field on the Japan Localization Setup tab of a subsidiary record.                                      The consolidated invoice summary has a corresponding template that you must specify in the Invoice Summary Template (Consolidated) field on the Japan Localization Setup subtab.            For more information see Consolidated Invoice Summary and Setting the Invoice Summary Template.                                Custom PDF Template for Journal            Version 2022.1 includes a customizable PDF template for journal custom transaction forms. Similar to the PDF templates for invoices sales orders and purchase orders you can specify and include custom fields for the journal PDF template under the Custom Advanced PDF Template field group. You can access this section on Japan subsidiary records for OneWorld accounts or on the Company Information page if you do not have a OneWorld account. You can specify the document title or a greeting for journals. These details will be included in the PDF printout of the journal custom transaction form that use the PDF template.            For more information see Using Custom PDF Templates for Custom Transaction Forms.                                Japan Holidays Subtab            The Holidays subtab is renamed to Japan Holidays subtab. This subtab is available on the Japan subsidiary records for OneWorld accounts or on the Company Information page if you do not have a OneWorld account.,Japan Localization Enhancements,2022 Wave 1,,,,,,,,,,,,No
FS,Accounting,Accounting Testing,,Country-Specific Reports Enhancements,,,Mexico Foreign Trade          Mexico Foreign Trade SuiteApp is now available for installation from the NetSuite SuiteApp Marketplace (Application ID: com.netsuite.mexicoforeigntrade). This SuiteApp enables your companies to generate and process e-documents for foreign trade operations in Mexico.          In version 1.0.0 the SuiteApp provides features and capabilities for export and import operations.                                                    Exports                                                              Servicio de AdministraciÃ³n Tributaria (SAT) catalogs â The SuiteApp provides the latest SAT and Customs catalogs required for conducting foreign trade in Mexico. Mexico-specific custom fields are also provided to capture values from these catalogs. For more information see SAT Fields for Mexico Foreign Trade.                                                  Mexico Foreign Trade field mapping â You can map standard NetSuite records to the official SAT and Customs catalog values. These custom values are automatically captured in transactions which enables you to generate XML and PDF files and have them successfully certified by the SAT.                                                  Foreign trade transactions â You can generate and certify export foreign trade operations and post them to the configured general ledger accounts.                                                  PDF templates - PDF templates are available to let you obtain printable versions of certified CFDIs (Comprobante Fiscal Digital por Internet) with the foreign trade information required by the SAT. For more information see Electronic Invoicing for Mexico Foreign Trade.                                                  Sales account reclassification - To reflect export scenarios in the general ledger you can reclassify the general sales account to a foreign trade account using the Foreign Trade Account Mapping record. For more information see Sales Account Reclassification for Mexico Foreign Trade.                                                                                    Imports                                                              Customs Details of Import - You can add information about your import operations on item-related transactions. This feature enables you to store and include customs details in your transactionsÂ which are required by SAT. For more information see Customs Details of Import Operations for Mexico Foreign Trade.,Mexico Foreign Trade,2022 Wave 1,,,,,,,,,,,,No
FS,Accounting,Accounting Testing,,Country-Specific Reports Enhancements,,,Netherlands Localization Enhancements          Netherlands Localization SuiteApp version 1.04.0 provides the following enhancements:                                    Work-related costs reporting â The SuiteApp lets you categorize organize and report your taxable and nontaxable employee allowances and benefits under the Netherlands work-related costs scheme or werkkostenregeling (WKR).                              Note:                 These WKR features are compatible only with NetSuite OneWorld accounts.                                                    Updated EC Sales List â The SuiteTax-based EC Sales List report is updated to include items that are subject to a zero tax rate. Items that are exempt from taxation (their assigned tax code has a property of Exempt) remain excluded from this report.                                            Important:             Netherlands Localization version 1.04.0 is available on the SuiteApp Marketplace. If you installed an earlier version of this SuiteApp from the Search &amp; Install Bundles page (bundle ID: 307509) you must uninstall the previous version before installing version 1.04.0 from the SuiteApp Marketplace.            Installing version 1.04.0 enables you to use the WKR features and prevents compatibility issues in your Netherlands SuiteTax-based reports with NetSuite version 2022.1.,Netherlands Localization Enhancements,2022 Wave 1,,,,,,,,,,,,No
FS,Accounting,Accounting Testing,,Country-Specific Reports Enhancements,,,Netherlands VAT and WKR Reports Enhancements          Netherlands Localization SuiteApp version 2.00.0 provides enhancements to the following reports:                                    SuiteTax-based VAT OB69 â If the Full Multi-Book Accounting feature is enabled in your account you can generate the VAT OB69 report for a specific accounting book.              This new version also provides the following updates to the VAT OB69 report filters:                                                The report filter descriptions are updated according to the current VAT specifications in the Netherlands.                                                  Box 5b of the report now includes the Intra-Community Purchase tax transaction type.                                                                    Work-related costs or werkkostenregeling (WKR) â The new version of the SuiteApp enables you to report the work-related costs per accounting book. However WKR reporting currently supports only accounting books that use the EUR currency.                                For more information see Netherlands Localization.,Netherlands VAT and WKR Reports Enhancements,2022 Wave 1,,,,,,,,,,,,No
FS,Accounting,Accounting Testing,,Country-Specific Reports Enhancements,,,Norway Tax Reports Enhancements          Norway Tax Reports SuiteApp version 1.07 includes the Norway VAT Return for NetSuite accounts without SuiteTax. This report is available for accounting periods starting on January 1 2022. The report uses the Norway tax codes for 2022 provisioned by the International Tax Reports SuiteApp. For more information see Norway Tax Codes. You can also manually export the Norway tax codes in XML format.                      Note:             You can still use the Norway VAT Return provided by the International Tax Reports SuiteApp for reporting periods before 2022. For periods starting January 1 2022 you must use the report provided by the Norway Tax Reports SuiteApp.                    Before you generate the Norway VAT Return ensure that the Norway tax codes in your account are set up correctly.                                    Provision Norway Tax Codes for 2022 â Norway tax codes for 2022 is automatically provisioned for new installations of the International Tax Reports SuiteApp. However if this SuiteApp is already installed in your account you need to manually provision the new tax codes. For information about manually provisioning Norway tax codes see Automatic Tax Code Provisioning Workaround.                                      Map Norway Tax Codes to Standard Tax Codes â Norway tax codes must be mapped to Standard tax codes using the Audit Files Field Mapping page which is available with the Tax Audit Files SuiteApp. For information about mapping Norway tax codes see Mapping Norway VAT Tax Codes.                                Norway Tax Reports SuiteApp version 1.08.0 provides the following enhancements:                                    VAT Return â Detail â Norway VAT Return report now includes a VAT Return - Detail report which displays detailed information about individual transactions aggregated in VAT Return report lines. It can be exported in XLS format.                                      Fully Non-Deductible Reverse Charge Codes and Partially Non-Deductible Reverse Charge Codes now supported.                                Norway Tax Reports SuiteApp version 1.09.0 provides the following enhancements:                                    Adjustment Book Support â Norway SAF-T report now fully supports Adjustment Book feature of Multi-Book Accounting.                                For more information see Norway Tax Reports SuiteApp.,Norway Tax Reports Enhancements,2022 Wave 1,,,,,,,,,,,,No
FS,Accounting,Accounting Testing,,Country-Specific Reports Enhancements,,,Philippines Invoicing Enhancements          The Southeast Asia Localization SuiteApp version 4.0.0 includes new Philippines invoicing custom fields where you can enter information registered with the Bureau of Internal Revenue (BIR). The following describes the enhancements included in this update:                                                    Taxpayer Branch Code Update                                                                    Document Serial Number Update                                                          Taxpayer Branch Code Update            If you have the Location feature enabled in your NetSuite account the Taxpayer Branch Code field gets added to your location record. During the upgrade the system copies the values in the Branch ID field into the Taxpayer Branch Code.            For more information see Updating the Taxpayer Branch Code.                                Document Serial Number Update            The following inclusive serial number fields let you customize how serial numbers appear in Philippines documents:                                          Serial number fields are now split into the Series Range From and Series Range To fields.                                            The new Prefix and Suffix fields let you customize how prefixes and suffixes are formatted.                                            The new Display Preview field shows a preview of the serial number combination you create.                                      The new serial number fields comply with BIR-required formatting and will be printed in footer details of your transactions. These fields are added under the Document Serial Number section of the Philippines Invoicing subtab in your subsidiary company information or location record.            For more information see Philippines Inclusive Serial Number.,Philippines Invoicing Enhancements,2022 Wave 1,,,,,,,,,,,,No
FS,Accounting,Accounting Testing,,Country-Specific Reports Enhancements,,,Portugal Invoice Certification Enhancements          Portugal Invoice Certification SuiteApp provides the following enhancement in 2022.1:                                                    Portugal Invoice Certification Document Series                                                                    QR Code Updates                                              For more information see Portugal Invoice Certification.                      Portugal Invoice Certification Document Series            Following the mandate from the Portugal Tax and Customs Authority the Portugal Invoice Certification SuiteApp version 1.06.0 enables you to create a document series for the following sales transaction types:                                          Invoice                                            Sales Order                                            Cash Sale                                            Payment                                            Item Fulfillment                                            Credit Memo                                            Cash Refund                                      Starting January 1 2022 sales transactions with a Portugal customer or subsidiary must have a document series identifier. You are not allowed to save a transaction if the document series identifier is missing. Transactions dated January 1 2022 and later also includes the document series identifier in the Portugal Transaction ID.                                QR Code Updates            Portugal Invoice Certification SuiteApp version 1.07.0 includes updates in the calculation of the VAT amounts that are included in the QR code information. The VAT amounts are based on the tax rates that are specific to each fiscal area in Portugal namely: Mainland Portugal Autonomous region of the Azores and Autonomous region of Madeiras. The VATârelated values per fiscal area are indicated in fields I(1-8) J(1-8) and K(1-8) of the QR code.            You can specify to which fiscal area a tax code is applied. Portugal tax code records contain the Portugal Fiscal Area field where you can select the fiscal area code. Based on this selection the tax rates of the specified fiscal area are applied.,Portugal Invoice Certification Enhancements,2022 Wave 1,,,,,,,,,,,,No
FS,Accounting,Accounting Testing,,Country-Specific Reports Enhancements,,,Sweden Tax Reports Enhancements          In Sweden Tax Reports version 1.02 the Intrastat Dispatch report now includes two additional columns:                                    Country of Origin - Country where the goods were harvested manufactured or substantially changed.                                      Partner ID - VAT number of the company the goods are dispatched to.                                For more information see Sweden Tax Reports SuiteApp.,Sweden Tax Reports Enhancements,2022 Wave 1,,,,,,,,,,,,No
FS,Accounting,Accounting Testing,,Country-Specific Reports Enhancements,,,United Kingdom Localization Enhancements          United Kingdom Localization version 1.05 includes the following enhancements:                                    Period VAT return â VAT100 (pre-2021) and UK Submit VAT Return via CSV â These reports can now be exported in PDF format.                                      Period VAT return â VAT 100 - This report now supports multi-book accounting.                                      Intrastat â Arrivals - These reports are updated in accordance with Brexit negotiations. Three reports are now available:                                                Intrastat â Arrivals (Pre-2021) â Valid through December 31 2020.                                                  Intrastat â Arrivals (2021) â Valid from January 1 2021 through December 31 2021.                                                  Intrastat â Arrivals (Post-2021) â Valid starting January 1 2022.                                                                    Â SVB BACS MULTIBACS or Faster Payments â This new payment template from SVB bank is now available in CSV format.                                United Kingdom Localization version 1.06 includes the following enhancements:                                    Intrastat â Dispatches - These reports are updated in accordance with Brexit negotiations. Three reports are now available:                                                Intrastat â Dispatches (Pre-2021) â Valid through December 31 2020.                                                  Intrastat â Dispatches (2021) â Valid from January 1 2021 through December 31 2021.                                                  Intrastat â Dispatches (Post-2021) â Valid starting January 1 2022.                                                                    Intrastat â Dispatches (Post-2021) now contains two additional columns:                                                Country of Origin - Country where the goods were harvested manufactured or substantially changed.                                                  Partner Operator VAT Number - VAT number of the company the goods are dispatched to.                                                              For more information see United Kingdom Localization,United Kingdom Localization Enhancements,2022 Wave 1,,,,,,,,,,,,No
FS,Accounting,Accounting Testing,,,,,,,,,,,,,,,,,,,Yes
FS,Accounting,Accounting Testing,,,,,,,,,,,,,,,,,,,No
FS,Accounting,Accounting Testing,,India Localization SuiteTax Engine Enhancements,,,Advanced Localization Features Enhancements          In Advanced Localization Features version 1.02 you can now use additional printing options to customize your invoices and credit memos.                                    Print Note if Thereâs No Payment Discount â Adds a note when payment discount is not applied.                                      Mark Document as Copy or Duplicate â Enables labeling the document as Copy or Duplicate.                                      Hide Total Incl. VAT Column â Hides the Total Incl. VAT Column from the printed invoice.                                You can customize the label of printed invoices and credit memos using the Use Popup for Email Transaction Button.          For more information see Advanced Localization Features.,Advanced Localization Features Enhancements,2022 Wave 1,,,,,,,,,,,,No
FS,Accounting,Accounting Testing,,India Localization SuiteTax Engine Enhancements,,,Australia Payment Times Report          The ANZ Localization SuiteApp version 2.0.0 includes the following enhancements:                                                    Payment Times Report Generation                                                                    Payment Times Report Configuration                                                          Payment Times Report Generation            You can now generate the Payment Times Report (PTR) for submission to the Payment Times Reporting Portal.            The PTR is a legislative requirement for large businesses in Australia that have trade credit arrangements with small businesses. It reports the payment terms and practices of your small business suppliers.            You must submit the PTR within three months after the reporting period. The Payment Times Reporting Portal requires the following:                                          CSV file containing the payment information                                            Word or PDF file containing signatures and associated declarations                                      On the Country Tax Reports page in NetSuite you can generate the PTR and then export the CSV file and the Word (.doc) file. PDF is not yet supported.            The Australian government requires you to submit the Payment Times Report in Australian dollars (AUD). If your subsidiary in Australia uses a currency that is not AUD you must set up your account to convert your transaction currency to AUD.            For more information about what you need to do before generating a PTR see Payment Times Report (PTR).                                Payment Times Report Configuration            The ANZ Localization SuiteApp provides the Payment Times Report Configuration page where you must provide information needed for generating the PTR. The configuration page contains the following subtabs:                                          Entity &amp; Approval Information â Contains fields for entity submitter and approver details.                                            Payment Details â Contains fields for payment period practices and arrangements and supply chain financing.                                            Others â Contains fields for changes in accounting period business name and comments related to the report.                                      For more information see Payment Times Report Configuration.,Australia Payment Times Report,2022 Wave 1,,,,,,,,,,,,No
FS,Accounting,Accounting Testing,,India Localization SuiteTax Engine Enhancements,,,ANZ Localization Preferences and Supplier List Updates          To avoid possible conflicts with other SuiteApps the script IDs for the following fields in the ANZ Localization SuiteApp are changed in version 1.1.3.                                                                                          Page                                                        Field                                                        New Script ID                                                        Old Script ID                                                                                                                    ANZ Preferences                                                        ABN Verification Warning                                                        custrecord_anz_bn_verification_comp                                                        custrecord_bn_verification_warnings_comp                                                                                        Allow Override                                                        custrecord_anz_override_bn_warnings                                                        custrecord_override_bn_warnings                                                                                        Supplier ABN List Report                                                        Export File Name                                                        custrecord_anz_current_date                                                        custrecord_current_date                                                                                        Export File Name                                                        custrecord_anz_running_number_count                                                        custrecord_running_number_count                                                                                        Supplier List                                                        custrecord_anz_date                                                        custrecord_date                                                                                After the update the following values will reset:                                    Supplier list exported file name - The running number count used in the supplier list exported file name will reset. You can access the Supplier ABN List Report page at Setup &gt; ANZ Localization &gt; Supplier List. For more information see Generating a Supplier ABN List Report.                                      ANZ Preferences - The preferences on this page will reset to their default values. To set the values again for ABN Verification Warning go to Setup &gt; ANZ Localization &gt; Preferences. If applicable check the Allow Override box. For more information see Setting Up ANZ Localization Preferences.                                            Note:             If you have existing customizations that use any of the old script IDs you need to update these customizations to use the new script IDs after the SuiteApp is updated to version 1.1.3.                    In addition this update removes the duplicate vendor records from the Supplier ABN List Report page.,ANZ Localization Preferences and Supplier List Updates,2022 Wave 1,,,,,,,,,,,,No
FS,Accounting,Accounting Testing,,India Localization SuiteTax Engine Enhancements,,,Belgium Localization Tax Reports Enhancements          Belgium Localization SuiteApp version 1.05.0 provides the following enhancements to SuiteTax-based reports:                                    VAT Return 625 XML export â The VAT Return 625 report can now be exported to XML. You can download the XML file from the Country Tax Report page where you generate the VAT report.                                      Updated XML file exports â The XML versions of the Belgium Intrastat Annual Client Listing and EU Sales List reports have been updated according to recent tax reporting standards. The update includes a fix in the formatting of certain information in the reports.                                For more information see Belgium Localization.,Belgium Localization Tax Reports Enhancements,2022 Wave 1,,,,,,,,,,,,No
FS,Accounting,Accounting Testing,,India Localization SuiteTax Engine Enhancements,,,Belgium Localization Now Available in SuiteApp Marketplace          Belgium Localization SuiteApp version 2.00.0 is now available in the SuiteApp Marketplace. Previous versions of this SuiteApp are no longer supported. If you are using the SuiteTax feature installing this latest version prevents compatibility issues in your Belgium tax reports with NetSuite 2022.1 and later versions.          Belgium Localization SuiteApp version 1.05.0 or earlier is not automatically upgraded to version 2.00.0. To install this latest version from the SuiteApp Marketplace you must first uninstall the older versions of the SuiteApp (Bundle ID: 307195) from the SuiteBundler.          For more information see Belgium Localization.,Belgium Localization Now Available in SuiteApp Marketplace,2022 Wave 1,,,,,,,,,,,,No
FS,Accounting,Accounting Testing,,India Localization SuiteTax Engine Enhancements,,,China Localization Enhancements          China Localization version 1.00.25Â adds enhanced support for China Voucher List Reports:                                    Additional reporting filters â You can now use the Vendor Customer and Employee fields as search filters when generating China Voucher List.                                      Additional reporting templates â You can see more information in the generated PDF and Excel files when exporting a China Voucher List Report. These new templates provide an increased character limit for the detail column and can include the vendor customer and employee information in the line item of the report.                                For more information see Generating the China Voucher List and Setting Up Preferences for China Voucher List.          To access these features you must install China Localization SuiteApp. For more information see Installing China Localization.,China Localization Enhancements,2022 Wave 1,,,,,,,,,,,,No
